Country_State,Site,Component,Name_Nearest_City, Count_Building_Owned , Building_Owned_SqFt , Count_Bldgs_Leased ,Bldgs_Leased_SqFt, Count_Bldgs_Other , Bldgs_Other_SqFt , Acres_Owned , Total_Acres ,Plant_Replacement_Value_M,Latitude,Longitude,Lat_Long_Sources
Missouri,NAVRESCEN KANSAS CITY MO,Navy Reserve,Kansas City,2,"52,488",0,0,0,0,0.00,10.00,$33.73,39.04165582,-94.54901525,US_Base_Project_BSR-FY24_Lat-Long
Missouri,NEW FIRE HOUSE SITE 7,Air National Guard,St. Joseph,5,"50,859",0,0,0,0,0.00,41.31,$44.47,39.77458325,-94.84836838,US_Base_Project_BSR-FY24_Lat-Long
Missouri,NGA ARNOLD SITE,Air Force Active,Arnold,4,"325,947",0,0,0,0,0.00,35.94,$353.62,38.416413,-90.398935,DeepSeek
Missouri,ROSECRANS MAP 139AG SITE 1,Air National Guard,St. Joseph,37,"323,873",0,0,0,0,53.29,90.04,$381.20,39.77353675,-94.9084107,US_Base_Project_BSR-FY24_Lat-Long
Missouri,SPC Clifford M Davis Jr ARC,Army Reserve,Belton,4,"58,401",0,0,0,0,195.05,499.90,$40.83,38.83136085,-94.54613845,US_Base_Project_BSR-FY24_Lat-Long
Missouri,Springfield AFRC,Army Reserve,Springfield,5,"86,017",0,0,0,0,17.94,17.94,$62.59,39.7814,-89.6436,DeepSeek
Missouri,St Joseph Usarc,Army Reserve,St. Joseph,2,"20,081",0,0,0,0,16.29,16.29,$15.77,41.69760775,-86.21394286,US_Base_Project_BSR-FY24_Lat-Long
Missouri,St Louis 4 Ord Plant,Army Reserve,St. Louis,5,"19,957",0,0,0,0,17.39,17.39,$35.04,38.69844325,-90.26311,US_Base_Project_BSR-FY24_Lat-Long
Missouri,ST LOUIS AIR FORCE STATION SITE 1,Air Force Active,St. Louis,15,"906,879",0,0,0,0,0.00,25.00,$707.99,38.7196,-90.2642,DeepSeek
Missouri,WELDON SPRING TRAINING AREA,Army Reserve,St. Charles,24,"211,277",0,0,0,0,"1,654.78","1,663.41",$177.97,38.6667,-90.7667,DeepSeek
Missouri,WHITEMAN SITE 1,Air Force Active,Whiteman Afb,321,"3,958,093",0,0,527,"1,326,790","4,947.59","5,565.50","$6,115.84",38.7299184,-93.5613436,US_Base_Project_BSR-FY24_Lat-Long
Montana,Fort Wm Harrison AMSA 75 G,Army Reserve,Helena,1,"6,736",0,0,0,0,14.18,14.18,$13.83,46.62721485,-112.0954927,US_Base_Project_BSR-FY24_Lat-Long
Montana,Ft Missoula - Fms  02,Army National Guard,Missoula,11,"63,730",0,0,0,0,16.90,16.90,$51.21,46.8421957,-114.0603705,US_Base_Project_BSR-FY24_Lat-Long
Montana,GREAT FALLS IAP SITE 1,Air National Guard,Great Falls,37,"424,576",0,0,1,"3,000",0.00,137.05,$525.31,47.4800263,-111.375579,US_Base_Project_BSR-FY24_Lat-Long
Montana,Helena Aviation Rc- Aasf- C12,Army National Guard,Helena,15,"315,086",0,0,0,0,59.95,119.90,$277.04,46.60986242,-111.9680074,US_Base_Project_BSR-FY24_Lat-Long
Montana,MALMSTROM AFB SITE 1,Air Force Active,Malmstrom Afb,222,"3,059,721",0,0,361,"2,242,312","2,151.92","2,591.16","$4,708.71",47.50486505,-111.1785139,US_Base_Project_BSR-FY24_Lat-Long
