"raw_value","canonical_value"
"bahamas, the","the bahamas"
"virgin islands, u.s.","virgin islands"
"burma","myanmar"
"congo (brazzaville)","republic of the congo"
"congo (kinshasa)","democratic republic of the congo"
"gambia, the","the gambia"
"korea, south","south korea"
"micronesia, federated states of","micronesia"
"northern mariana","northern mariana islands"
"türkiye","turkey"
"côte d'ivoire","cote divoire"
